Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50
CHEMBL3929705,,243.24,0,2.09,O=C1NN=C2CCCc3[nH]c4cc(F)cc1c4c32,0.8
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.8
CHEMBL3907535,,268.32,0,1.84,CC(C)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,0.8
CHEMBL4858564,,706.81,2,3.8,Cc1c(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,0.89
CHEMBL3893294,,253.31,0,3.02,O=c1[nH]nc2c3c(cccc13)NC1=C2CCCCC1,0.9
CHEMBL4112930,PAMIPARIB,298.32,0,2.08,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,0.9
CHEMBL3961684,,285.28,0,2.37,CC1(C)CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1=O,0.9
CHEMBL4865059,,613.7,2,2.68,Cc1c(CN2CCN(C(=O)c3cc4cccc(C(N)=O)c4o3)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,0.92
CHEMBL3644587,2X-121,317.35,0,2.39,O=c1[nH]nc2c3c(cccc13)N=C(CN1Cc3ccccc3C1)N2,1
CHEMBL609002,,322.37,0,1.28,O=C1NCC2c3c(cccc31)CCN2C(=O)CCc1cnccn1,1
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1
CHEMBL3740104,,450.5,0,2.74,N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,1
CHEMBL595018,,307.35,0,1.49,O=C1NCC2c3c(cccc31)CCN2C(=O)Cc1cccnc1,1
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1
CHEMBL3970252,,311.35,0,0.69,CC(C)(N)C(=O)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,1
