,id,smiles
51837,A141_B178,CNC([C@H](CNC(CN1N=C(C(N)=O)c(cccc2)c2C1=O)=O)NC(CCc1nc(-c2cnccc2)no1)=O)=O
18567,A051_B118,CC(C1=C(N2)N(C)NC1=O)=C(CC(NC[C@@H](C(NC)=O)NC(Cc1cc(OC)ccc1)=O)=O)C2=O
1786,A005_B311,CNC([C@H](CNC(CCC(C(N1)=O)NC1=O)=O)NC(C1CC=CCC1)=O)=O
32911,A090_B071,CC(C(N1CC(NC[C@@H](C(NC)=O)NC(Cc(c(C(F)(F)F)ccc2)c2F)=O)=O)=O)(c2ccc(C)cc2)NC1=O
49317,A134_B241,CC(C(NC[C@@H](C(NC)=O)NC(C(CC(C1O)O)=CC1O)=O)=O)SC(N1)=NC(C)=CC1=O
47230,A128_B368,CNC([C@H](CNC(c(o1)ccc1S(N)(=O)=O)=O)NC(CCc1cc(Cl)cc(Cl)c1)=O)=O
17527,A048_B185,CNC([C@H](CNC(c(cc1)ncc1C(N)=O)=O)NC(CCc1ccc(-c2cccs2)o1)=O)=O
39032,A106_B288,CCN(C(c(ccc(C(NC[C@@H](C(NC)=O)NC(c1cc(C)cc(C)c1)=O)=O)c1)c1N1)=O)C1=O
56993,A155_B168,Cc(cc(cc1)Cl)c1OCC(N[C@@H](CNC(C(C=C1)=NNC1=O)=O)C(NC)=O)=O
33925,A092_B347,CNC([C@H](CNC(C(N1)=CC=CC1=O)=O)NC(CNS(c(cc1)cc(C2)c1NC2=O)(=O)=O)=O)=O
42951,A117_B148,CNC([C@H](CNC(c(cc1)nc(N(C)C(N2)=O)c1C2=O)=O)NC(CCc1cccs1)=O)=O
11381,A031_B312,Cc(cc1nc2)nn1c(C)c2C(N[C@@H](CNC(c(cc1)cc(N2)c1N(C1CCCC1)C2=O)=O)C(NC)=O)=O
15861,A043_B364,CNC([C@H](CNC(COc(cc1)ccc1C(N)=O)=O)NC(CCN(C(c1c2cccc1)=O)C2=O)=O)=O
4237,A012_B179,Cc1nnnn1-c1ccc(CC(N[C@@H](CNC(c2cc(NC(C3OCCC3)=O)c(C)cc2)=O)C(NC)=O)=O)cc1
23784,A065_B169,CNC([C@H](CNC(CCC(N1)=Nc(sc2c3CCC2)c3C1=O)=O)NC(COc(cc1)ccc1Cl)=O)=O
39705,A108_B223,CNC([C@H](CNC(CCN(c(cccc1)c1C(N1)=O)C1=O)=O)NC(C(CC1)CCC1=O)=O)=O
31885,A087_B152,CNC([C@H](CNC(C(CC1)CCN1S(c(cc1)ccc1C(N)=O)(=O)=O)=O)NC(CCC(c(cc1)ccc1OC)=O)=O)=O
14132,A039_B111,CNC([C@H](CNC(Cc1csc(N(CCCN2)C2=O)n1)=O)NC(CCCc(cc1)cc2c1OCCO2)=O)=O
44871,A122_B223,CNC([C@H](CNS(c1cn(C)c(C(N)=O)c1)(=O)=O)NC(C(CC1)CCC1=O)=O)=O
5866,A016_B332,CC(C)(C(N[C@@H](CNC(C1(CC1)C(N)=O)=O)C(NC)=O)=O)O
52307,A142_B279,CNC([C@H](CNC(c1cc(C(N)=O)co1)=O)NC(c(cc1)cc(O2)c1OC2(F)F)=O)=O
25162,A069_B071,Cc1cc(C(NC[C@@H](C(NC)=O)NC(Cc(c(C(F)(F)F)ccc2)c2F)=O)=O)nc(N=C(N2)O)c1C2=O
7234,A020_B224,CC(CC1=C(C(NC[C@@H](C(NC)=O)NC(c2cc3nc(C)c(C)nc3cc2)=O)=O)NNC1=O)O
51818,A141_B159,CNC([C@H](CNC(CN1N=C(C(N)=O)c(cccc2)c2C1=O)=O)NC(CCc(ccc(Cl)c1)c1Cl)=O)=O
15169,A042_B041,Cc1cccc(C(NCC(N[C@@H](CNC(CCc(c(C)n2)c(C)n3c2c(C(N)=O)nc3)=O)C(NC)=O)=O)=O)c1
19746,A054_B190,CNC([C@H](CNC(c(cc1)ccc1Sc1ncccc1C(N)=O)=O)NC(CCc1nc(-c(cccc2)c2OC)no1)=O)=O
34618,A094_B302,CNC([C@H](CNS(c(cc1)cc(C(N2)=O)c1NC2=O)(=O)=O)NC(c1ccn[nH]1)=O)=O
533,A002_B165,CC(C(N1)=O)=CN(CC(NC[C@@H](C(NC)=O)NC(CCc(cc2)ccc2Cl)=O)=O)C1=O
17782,A049_B071,CNC([C@H](CNC(c(cc(-c1ccccc1)nc1NN2)c1C2=O)=O)NC(Cc(c(C(F)(F)F)ccc1)c1F)=O)=O
37182,A101_B283,Cc(c(OC)cc(C(N[C@@H](CNC(c(cc1)cc(C(NN2)=O)c1C2=O)=O)C(NC)=O)=O)c1)c1OC
16098,A044_B232,CNC([C@H](CNC(COCC(N1)=Nc(cccc2)c2C1=O)=O)NC(C1CCN(Cc2ccco2)CC1)=O)=O
37498,A102_B230,CNC([C@H](CNS(c(cc1)cc(NC2=O)c1NC2=O)(=O)=O)NC(c1nn(cc(CCO)cn2)c2c1)=O)=O
8534,A024_B048,CNC([C@H](CNC(c1cccc(N(C(C=C2)=O)NC2=O)c1)=O)NC(Cc(cc1)cc(OC)c1O)=O)=O
37989,A103_B352,CNC([C@H](CNC(CN(C(c(cccc1)c1N1)=O)C1=O)=O)NC(C(CC1)c(cccc2)c2C1=O)=O)=O
49984,A136_B170,CNC([C@H](CNC(c(cc1)ccc1N(CCN1)C1=O)=O)NC(CC1C=CCC1)=O)=O
11292,A031_B223,CNC([C@H](CNC(c(cc1)cc(N2)c1N(C1CCCC1)C2=O)=O)NC(C(CC1)CCC1=O)=O)=O
13013,A036_B099,CNC([C@H](CNC(CNc(cc1)ccc1C(N)=O)=O)NC(Cc(cc(cc1)[N+]([O-])=O)c1F)=O)=O
21090,A058_B058,CC(N=C(c1ccncc1)N1)=C(CC(NC[C@@H](C(NC)=O)NC(CCc(cc2OC)cc(OC)c2OC)=O)=O)C1=O
53051,A144_B285,CNC([C@H](CNC(c1cc(C(N)=O)cn1C)=O)NC(c(cc1)cc(F)c1F)=O)=O
17658,A048_B316,CNC([C@H](CNC(c(cc1)ncc1C(N)=O)=O)NC(c(cc1)ccc1S(C)(=O)=O)=O)=O
22528,A062_B020,CNC([C@H](CNC(COc(cc1)cc(CC2)c1NC2=O)=O)NC(CNC(c1ccccc1)=O)=O)=O
49278,A134_B202,CC(C(NC[C@@H](C(NC)=O)NC(c(cc1)cc2c1[nH]cc2)=O)=O)SC(N1)=NC(C)=CC1=O
17253,A047_B280,CNC([C@H](CNC(c(cc1)ccc1Oc(cc1)ccc1C(N)=O)=O)NC(c(ccc1c2)cc1ccc2O)=O)=O
47101,A128_B239,CCC1(CC(N[C@@H](CNC(c(o2)ccc2S(N)(=O)=O)=O)C(NC)=O)=O)OCCc2c1[nH]c1c2cccc1CC
40051,A109_B200,CNC([C@H](CNC(c1cc(-c2ccco2)nc2c(C(N)=O)ncn12)=O)NC(c1nccc2ccccc12)=O)=O
39362,A107_B249,CC(c1c(C)n(CC(N[C@@H](CNC(C(C2)c(cccc3)c3NC2=O)=O)C(NC)=O)=O)nc1C)=O
50800,A138_B248,CNC([C@H](CNC(Cn1c(cccc2)c2c(C(N)=O)c1)=O)NC(C(C1)COc2c1cccc2OC)=O)=O
38514,A105_B139,CNC([C@H](CNC(c(cc1)cc(NC(N2c3cccc4ccccc34)=O)c1C2=O)=O)NC(CCc1ncc(-c2ccccc2)o1)=O)=O
55514,A151_B165,CNC([C@H](CNC(c(cc1)cc(N2)c1N(C)C2=O)=O)NC(CCc(cc1)ccc1Cl)=O)=O
48532,A132_B194,CNC([C@H](CNC(c1cc(C(NC(N2)=O)=O)c2nc1)=O)NC(c1nc2ccccc2c(OC)c1)=O)=O
36656,A100_B126,CNC([C@H](CNC(C(CCC1)N1C(Nc1ccccc1)=O)=O)NC(Cc(cc1OC)cc(OC)c1OC)=O)=O
