,Smiles
92,O=C(O)COC2(=CC=1(C(=CC=CC=1)C=C2))
93,S1(C(=C(C)N=C1C(C)C)C(=O)O)
94,[Br]C1(=CN=C(C(=O)O)C=C1)
95,O=C(O)CC1(=CC(OC)=C(OCC)C=C1)
96,O=C(O)CC1(=C(C=CC=C1)C)
97,O=C(O)CN1(N=C(C)C(=C1C)C(=O)C)
98,ClC1(=C(OCC(=O)O)C=C2(OC(=O)C=C(C2(=C1))CC))
99,OC(=O)C2(=CC=1(NC(=O)N(CC)C(C=1C=C2)=O))
100,O=C(O)CCC=1(ON=C(N=1)C2(=C(C=CC=C2)C))
101,O=C2(C1(=C(C=CC=C1)C(C2)C(=O)O))
102,O=C1(N(C(=O)C2(N(CC(=O)O)C=NC2(N1C)))C)
103,O=C(O)CC2(=CC=C(OC1(=CC=CC=C1))C=C2)
104,OC(=O)C=2(C1(=NC(=O)C=3(C=CC=CC=3(N1NC=2))))
105,O=C(O)CCC1(=CC=C(C(C)C)C=C1)
106,S(=O)(=O)(N1(CCC(C(O)=O)CC1))C2(=CC=C(C(=O)N)C=C2)
107,O=C(O)C2(=CC=C(OC1(=CC=CC=C1))C=C2)
108,O=C(O)CC1(=CC=C(OCC)C=C1)
109,ClC1(=C(C=CC(=C1)F)CC(=O)O)
110,O=C2(OC1(=C(C=CC(=C1)OCC(=O)O)C3(=C2CCCC3)))
111,OC(=O)C=1(NC(=O)C=CC=1)
112,S(=O)(=O)(N(C)C)C=1(OC(C)=C(C=1)C(=O)O)
113,O=C1(NC=2(C=CC(=CC=2(C1C(=O)O))C))
114,O=C2(OC1(=C(C=CC(=C1)OCC(=O)O)C=C2))
115,O=C(O)CCC(=O)C1(=CC=C(C)C=C1)
116,O=C1(N(C(=O)C2(N1)(CCCCC2))CCC(=O)O)
117,ClC2(=CC=C(C=1(OC(CCC(=O)O)=NC=1))C=C2)
118,O=C(O)C=1(OC=CC=1)
119,O=C(O)CC1(=CC(O)=C(OC)C=C1)
120,O=C(O)C1(=NC=C(C)N=C1)
121,O=C1(N(C(=O)C2(=C1C=CC=C2))CCC(=O)O)
122,O=C2(NC1(=C(C=CC=C1)N(C2)C(=O)CCC(=O)O))
123,OC(=O)CC=1(C(=O)NC=2(C=CC=CC=2(C=1)))
124,OC(=O)C1(CCN(C(=O)N)CC1)
125,O=C(O)CC1(=CC(=CC=C1)C)
126,O=C(O)C1(C2(CC(C1)CC2))
127,O=C(O)C1(=CC(=CC=C1)CN2(N=CC=C2))
128,FC1(=C(C=C([N+](=O)[O-])C=C1)CC(=O)O)
129,O=C1(NC=2(C=C(C)C=CC=2(C1C(=O)O)))
130,OC(=O)C=1(NNC(C=1CC(O)C)=O)
131,OC(=O)C1(=CC(NC(=O)N)=CC=C1)
132,O=C(NCC(=O)O)C=CC=1(OC=CC=1)
133,S1(C(=C(C)N=C1C)C(=O)O)
134,O=C(O)C1(CCC(CC)CC1)
135,OC(=O)CN1(C2(=C(NC(C1)=O)C=CC=C2))
136,O=C2(N(C1(=C(C=CC=C1)OC2))CCC(=O)O)
137,O=C(O)C2(=CC=C(N1(C=NC=C1))C=C2)
138,O=C(O)C1(=C(ON=C1C)C)
139,S1(C(C(=O)O)=CC=C1C)
140,OC(=O)CCOC1(=CC=C(C(=O)N)C=C1)
141,OC(=O)C1(=C3(C(=NC(=C1)C2(CC2))N(C(=O)NC3=O)C))
142,O=C(O)CCN1(N=C(C)C(=C1C)C)
143,OC(=O)CN1(C(=O)NC(=O)C=C1)
144,O=C2(C1(=C(C=CC=C1)C(C(=O)O)CC2))
145,FC(F)(F)C1(=CC(=CC=C1)CC(=O)O)
146,O=C(O)COC1(=C(C=CC=C1)C)
147,OC(=O)CC2(=C(N1(NC(=O)C=C1N=C2C))C)
148,O=C1(NC(CCCCCC(=O)O)C(N1)C)
149,O=C1(N(C(=O)CN1)CC2(=CC(C(=O)O)=CC=C2))
150,CC(C)(C)OC(N(C1CC(O)=O)c(cccc2)c2N(C(OC(C)(C)C)=O)C1=O)=O
151,OC(=O)C4(=CC=3(NC(=O)N(C=1(C=2(C(C=CC=1)=CC=CC=2)))C(C=3C=C4)=O))
152,S(C1(=NC=CC=C1C(=O)O))C
153,O=C2(OC1(=C(C(OCC(=O)O)=CC(=C1)C)C(=C2)CC))
154,O=C1(N(C(=O)C(N1)(C)C)CC(=O)O)
155,O=C1(NN=C(CC(=O)O)C2(=C1C=CC=C2))
156,O=C(O)C2(=C(OC1(=CC=CC=C1))N=CC=C2)
157,O=C(O)C2(=CC(N1(N=CC=C1))=CC=C2)
158,O=C1(C2(=C(N(CC(=O)O)C=C1)C=CC=C2))
159,OC(=O)C2(=C(N(C1(=NNC(=O)C=C1))N=C2)C)
160,OC(=O)C2(=CC(NC(=O)C1(OCCC1))=C(C)C=C2)
161,ClC2(=CC=1(NC(=O)C(CC(O)=O)SC=1C=C2))
162,O=C(O)CC1(CCCC1)
163,OC(=O)C=1(C(=O)NC(=O)NC=1)
164,O=C(O)C(O)(C)C
165,O=C(O)C2(=CC=C(C(=O)C1(=C(OC)C=CC(=C1)OC))C=C2)
166,FC1(=C(OC)C=CC(=C1)C(=O)CCC(=O)O)
167,O=C(O)C1(=CC=CC=C1)
168,O=C(O)C1(=C(O)N=C(C)C=C1)
169,O=C(O)C1(=NNC(=C1)C2(=CC=C(OC)C=C2))
170,OC(=O)C=1(C(=O)NC2(=CC(=NN2(C=1))C))
171,OC(=O)C1(=NC=C(C(=O)N)C=C1)
172,O=C(O)CC(C=C)C
173,OC(=O)C1(=C2(C(=NC(=C1)C)N(C)NC2=O))
174,O=C(O)CCC(=O)C1(=CC(OC)=C(OC)C=C1)
175,ClC1(=C(C(=O)O)C=C2(CC(NC2(=C1))=O))
176,O=C(O)C2(=NC=1(C(=CC=CC=1)C=C2))
177,O=C(O)CC=2(C1(=C(C=CC=C1)OC=2))
178,O=C(O)C1(=CC=C(OC)C=C1)
179,ClC1(=C(OC)C=CC=C1CCC(=O)O)
180,ClC1(=CC=C(C(=O)CCC(=O)O)C=C1)
181,O=C(O)CCC=1(OC=CC=1)
182,OC(=O)C=1(OC=C(C=1)C(=O)N)
183,FC2(=C(C1(=NOC(=N1)CCC(=O)O))C=CC=C2)
184,O=C(O)C1(=CN=C(O)C=C1)
185,OC(=O)C=1(N(C=C(C=1)C(=O)N)C)
186,O=C(O)C1(=NNC2(=C1C=CC=C2))
187,O=C1(N(C(=O)C3(N1)(C2(=C(C=CC=C2)CC3)))CC(=O)O)
188,CCC1(CC(O)=O)OCCc2c1n(C(OC(C)(C)C)=O)c1c(CC)cccc12
189,FC1(=CC=C(CCC(=O)O)C=C1)
190,O=C(O)C(CO)(CO)C
191,OC(=O)C1(=C3(C(=NC(=C1)C2(CC2))N(C)NC3=O))
192,O=C(OCC1(=CC=CC=C1))NCC(=O)O
193,O=C(O)C(C)(C)C
194,O=C(N(CC(=O)O)C)C1(=CC=CC=C1)
195,S(=O)(=O)(N)C=1(SC(CC(O)=O)=CC=1)
196,O=C(O)C2(C(C1(=CC=CC=C1))C2)
197,O=C(N1(CCC(C(=O)O)CC1))N(C)C
198,O=C(O)C1(=NN2(C=C(CCO)C=NC2(=C1)))
199,O=C(O)C
200,O=C(O)CC(C)(C)C
201,OC(=O)COC1(=CC=C(C(=O)N)C=C1)
202,O=C(O)C=1(NN=C(C=1)C=2(OC(C)=CC=2))
203,OC(=O)C=1(C(=O)NC=2(CCCCCC=2(C=1)))
204,OC(=O)C1(C(=O)N)(CC1)
205,O=C(O)C2(=CC=1(C(=NC(C)=CC=1)C=C2))
206,S2(C=1(N=C(NC(C=1C(=C2C(O)=O)C)=O)COC))
207,O=C(O)C1(=CN=CN=C1)
208,O=C(O)CC1(C(C(C(=O)C)C1)(C)C)
209,O=C(NCC(=O)O)C1(=CC(=CC=C1)C)
210,FC1(=CC=C(OCC(=O)O)C=C1)
211,FC(F)(F)C1(=C(C=CC=C1)CC(=O)O)
212,OC(=O)C2(=CC(N1(C(=O)NCC1))=C(C)C=C2)
213,OC(=O)CCC2(=NC1(=C(C=CC=C1)NC2=O))
214,O=C(O)CCC1(CCCC1)
215,O=C(O)CC1(C=CCC1)
216,O=C(O)CCCC2(=CC=1(OCCOC=1C=C2))
217,ClC1(=CC(=C(OCC(=O)O)C=C1)C)
218,O=C(O)CCCC1(CCCCC1)
219,ClC1(=C(C=CC=C1)CC(=O)O)
220,S1(C(C(=O)CCC(=O)O)=CC=C1)
221,S(=O)(=O)(N)C1(=CC(C(O)=O)=CC=C1)
222,O=C(O)CCC1(=C(OC)C(OC)=CC=C1)
223,O=C(O)CCC(=O)N(C1(CCCCC1))C
224,O=C(O)C1(COC=2(C(OC)=CC=CC=2(C1)))
225,O=C(O)CCC(=O)C2(=CC=C(C1(=CC=CC=C1))C=C2)
226,ClC1(=CC(F)=C(CC(=O)O)C=C1)
227,FC1(=CC(=CC=C1)CC(=O)O)
228,O=C(O)CC1(=CC=C(N(C)C)C=C1)
229,O=[N+]([O-])C2(=C(N1(CCC(C)CC1))C=CC(=C2)C(=O)O)
230,O=C(NCC(=O)O)C1(=C(C=CC=C1)C)
231,S1(C2(=C(NC(C1CC(O)=O)=O)C=C(C(F)(F)F)C=C2))
232,FC1(=C(C=CC(=C1)OC)CC(=O)O)
233,O=C(O)C2(C1(=CC=CC=C1))(CCC2)
234,O=C(O)CCC1(=C(C=C(C)C=C1)C)
235,CC(C)(C)OC(n(c(C(O)=O)c1)c(cc2)c1cc2F)=O
236,FC1(=CC=C(C(=O)CCC(=O)O)C=C1)
237,O=C(O)C1(CC=CCC1)
238,S(=O)(=O)(N)C=1(C=NN(C=1)CC(O)=O)
239,S1(C=C(CC(=O)O)C=C1)
240,O=C(O)CC1(=CC=C(OC)C=C1)
241,OC(=O)C2(N(C(=O)NC1(=CC=CC=C1))CCC2)
242,O=C(O)CCC1(=CC=CC=C1)
243,O=C(O)C1(CN(C(=O)CC)CCC1)
244,O=C(O)CCC=2(OC(C1(=CC=CC=C1))=C(N=2)C3(=CC=CC=C3))
245,O=C(O)C2(=CC=1(C(=CC(O)=CC=1)C=C2))
246,[Br]C=1(OC(C(=O)O)=CC=1)
247,O=C(N1(CCC(C(=O)O)CC1))C2(=CC(OC)=CC(=C2)OC)
248,OC(=O)C2(=CC=1(NC(=O)N(C=1C=C2)C))
249,O=C1(N(CC=2(C1=C(C(=O)O)C=CC=2))CC)
250,O=C(O)CC2(=CC=C(OCC1(=CC=CC=C1))C=C2)
251,O=C(O)CCC1(=CC=C(OCC)C=C1)
252,O=C(O)C(O)C(C)C
253,O=C(O)CCCC=1(ON=C(N=1)C2(=C(OC)C=CC=C2))
254,S(=O)(=O)(N(C1(=CC=C(C)C=C1))CC(=O)O)C
255,OC(=O)CN2(C1(=C(C=CC=C1)C(=C2)C(=O)N))
256,OC(=O)C1(CN(CCC1)CC(=O)N)
257,O=C(O)C2(=CC=1(C(=NC=CC=1)C=C2))
258,OC(=O)C2(CCN(C1(=NC=C(C(=O)N)C=C1))CC2)
259,OC(=O)CN1(NC(=O)C=2(C=CC=CC=2(C1=O)))
260,OC(=O)C2(=CC=C(C(=O)NC1(CC1))C=C2)
261,OC(=O)COC1(=CC=C(CC(=O)N)C=C1)
262,O=C(O)C2(=CC=1(C(=CC(OC)=CC=1)C=C2))
263,O=C(O)CC1(=C(OC)C=CC=C1)
264,O=C(O)CC1(=CC(OC)=CC(=C1)OC)
