,Smiles
415,OC(=O)C2(=CC(N1(NC(=O)C=CC1=O))=CC=C2)
416,O=C(O)CC1(=CC(OC)=CC=C1)
417,S(=O)(=O)(C1(=CC=C(CC(=O)O)C=C1))C
418,OC(=O)C=1(N=C(NC(C=1)=O)C2(CC2))
419,OC(=O)C1(=CN=C2(N(C(=O)NC(C2(=C1))=O)C3(CC3)))
420,O=C(O)C2(=CC(NC(=O)C1(CCCC1))=CC=C2)
421,O=C(O)CC1(CCCCCC1)
422,OC(=O)C2(=CC=1(NC(=O)N(C=1C=C2)C3(CCCC3)))
423,OC(=O)CCN1(C(=O)C(=O)NC=C1)
424,[Br]C1(=CC(=C(F)C=C1)CC(=O)O)
425,O=C(O)C2(=CC=C(NC(=O)C1(CC=CCC1))C=C2)
426,O=C(O)C=1(C=2(C(C=CC=1)=CC=CC=2))
427,O=C(O)CC(C)C
428,OC(=O)C=1(C(=O)NC=2(C=CC=CC=2(C=1)))
429,O=C(O)C23(CC4(N1(N=CN=C1))(CC(C2)CC(C3)C4))
430,S(=O)(=O)(NCC(=O)O)C1(=CC=C(C)C=C1)
431,O=C(O)C2(CCN(CC=1(OC=CC=1))CC2)
432,O=C(O)CCN1(CCCCC1)
433,OC(=O)CCN1(C(=O)NC(=O)C2(=C1C=CC=C2))
434,OC(=O)CN1(N=C(C=2(C=CC=CC=2(C1=O)))C(=O)N)
435,O=[N+]([O-])C1(=CC(=CC=C1)CC(=O)O)
436,S1(C(=NC(=C1)CC(O)=O)N2(C(=O)NCCC2))
437,O=C(O)C1(=CC=C(OC(C)C)C=C1)
438,FC1(=C(F)C=CC(=C1)CC(=O)O)
439,ClC1(=C(Cl)C=CC(=C1)CCC(=O)O)
440,S(=O)(=O)(NCC(O)=O)C2(=CC=1(NC(=O)C(=O)NC=1C=C2))
441,O=C(O)CC=2(C1(=C(C=C(OC)C=C1)OC=2))
442,FC(F)(F)OC1(=CC(=CC=C1)CC(=O)O)
443,CC(C)(C)OC(n(c(C(O)=O)c1)c2c1cccc2)=O
444,OC(=O)COC1(=C(C(=O)N)C=CC=C1)
445,OC(=O)C2(=CC=C(OC1(=CC=C(C(=O)N)C=C1))C=C2)
446,O=C(O)C1(=CC(C#C)=CC=C1)
447,OC(=O)C2(=CC=1(NC(=O)CNC=1C=C2))
448,O=C(O)CC1(=C(C=CC(=C1)C)C)
449,OC(=O)C1(=C3(C(=NC(=C1)C2(CC2))N(C(=O)NC3=O)CC(C)C))
450,O=C(O)COC1(=CC=C(C(=O)C)C=C1)
451,OC(=O)C=1(NC(=O)NC(C=1)=O)
452,OC(=O)CC2(OC1(=C(C=CC=C1)NC2=O))
453,O=C1(N(C(=O)CN1)CC2(=CC=C(C(=O)O)C=C2))
454,OC(=O)COC1(=CC(C(=O)N)=CC=C1)
455,S1(C(=NC=C1CC(=O)O)N)
456,O=C(O)C1(=CC=C(NC(=N)N)C=C1)
457,ClC1(=C(C=CC(=C1)Cl)CCC(=O)O)
458,OC(=O)CC1(=NNC(=O)C2(=C1C=CC=C2))
459,S(C1(=NC(=CC(N1)=O)C))C(C(O)=O)C
460,FC(F)(F)C(O)(CC(=O)O)C
461,O=C(NCC(=O)O)C1(=CC=C(C)C=C1)
462,O=C(O)C1(=CC(OC)=C(OC)C(=C1)OC)
463,O=C(O)C2(=C(N1(N=C(C)C=C1N=C2))C)
464,OC(=O)C1(=NC(C(=O)N)=CC=C1)
465,FC1(=C(C=C(CC(=O)O)C=C1)C(F)(F)F)
466,IC1(=C(C(=O)O)C=CC=C1)
467,O=C(O)CCCC=1(ON=C(N=1)C2(=CC=NC=C2))
468,O=C(O)CCC1(=CC=C(C)C=C1)
469,O=C(O)CC1(=CC(OCC)=C(O)C=C1)
470,O=C(O)CC1(=C(OCC)C=CC=C1)
471,S(=O)(=O)(N)C1(=CC=C(NC(=O)CCC(O)=O)C=C1)
472,O=C(O)C1(=C(C=CC=C1)C)
473,O=C1(OC(CC(=O)O)C2(=C1C=CC=C2))
474,O=C(O)CC2(=CC=C(N1(N=NN=C1C))C=C2)
475,O=C(O)CCC(=O)C1(=CC=CC=C1)
476,O=C(O)CCC(=O)C1(=CC=C(OC)C=C1)
477,O=[N+]([O-])C1(=CC=C(C(=O)NCC(=O)O)C=C1)
478,OC(=O)C=1(C(=O)NC=2(CC(C)(C)CC(C=2(C=1))=O))
479,O=C(O)CC(CC)C
480,S2(C=1(N=CN(C)C(C=1C(=C2C(=O)O)C)=O))
481,FC1(=C(F)C=CC(=C1)C(=O)O)
482,CC(C)(C)OC(n(cc1)c2c1ccc(C(O)=O)c2)=O
483,OC(=O)C1(=NNC(=O)C2(=C1C=CC=C2))
484,O=C(O)C2(=CC=C(OCC1(=CC=CC=C1))C=C2)
485,O=C(O)CCC2(=CC1(=C(OCC1)C=C2))
486,O=C(O)CCN1(N=C(C)C(=C1C)C(=O)C)
487,OC(=O)C2(=CC=1(N=C(NC(C=1C=C2)=O)CN3(CCOCC3)))
488,O=C(O)COC1(=CC(OC)=C(CO)C=C1)
489,O=C(O)C1(=NC=CN=C1)
490,FC(F)(F)C1(=CC=C(CC(=O)O)C=C1)
491,O=C2(OC1(=C(C=CC(=C1)OC(C)C)C=C2C(=O)O))
492,O=C(O)C1(=CC(OC)=C(C)C(=C1)OC)
493,O=C2(C1(=C(C=C(C(=O)O)C=C1)CCC2))
494,OC(=O)C2(=CC=1(NC(=O)C(CC)NC=1C=C2))
495,O=C1(N(C=NC2(=C1C=CC=C2))CCC(=O)O)
496,O=C(O)C(C1(=CC=C(CC(C)C)C=C1))C
497,FC(F)(F)C1(=C(C=CC=C1)CCC(=O)O)
498,FC1(=C(C(=CC=C1)C(F)(F)F)CC(=O)O)
499,O=C(O)CC12(CC3(O)(CC(C1)CC(C2)C3))
500,OC(=O)C2(CCN(C1(=NC(=CC(N1)=O)C))CC2)
501,IC1(=CC=C(C(=O)O)C=C1)
502,O=C(O)CCC=1(ON=C(N=1)C2(=CN=CC=C2))
503,OS(c(cc1)cc(NC2=O)c1NC2=O)(=O)=O
504,FC(F)(F)C1(=CC=C(CCC(=O)O)C=C1)
505,ClC1(=NC=C(CC(=O)O)C=C1)
506,OC(=O)CC=1(C(=O)NC=2(N(C)NC(C=2(C=1C))=O))
507,OC(=O)C2(=CC=C(N1(C(=O)NCC1))C=C2)
508,S(=O)(C3(=CC=C(C=C2(C1(=C(C=C(F)C=C1)C(=C2C)CC(=O)O)))C=C3))C
509,OC(=O)C2(=C(N1(C(=O)NC(=O)CC1))C=CC=C2)
510,O=C(O)C1(CCCCC1)
511,OC(=O)C=1(NC(=O)C=2(C=CC=CC=2(C=1)))
512,OS(c(cc1)cc(N2)c1NC2=O)(=O)=O
513,O=C(O)C1(=NNC(=C1)C2(CC2))
514,O=C(O)CCC(C1(=CC=C(O)C=C1))(C2(=CC=C(O)C=C2))C
515,O=C(O)C1(=CC(=CC(=C1)C)C)
516,CC(C)(C)OC(n(cc1)c(cc2)c1cc2C(O)=O)=O
517,OC(=O)C2(=CC(=C(N1(C(=O)NCC1))C=C2)C)
518,CC(C)(C)OC(n1c(ccc(Br)c2)c2c(CC(O)=O)c1)=O
519,O=C(O)CCC1(=NC(OC)=CC(=N1)OC)
520,ClC1(=C(OC)C=CC(=C1)N2(C(=O)CC(C2)C(=O)O))
521,O=C(O)CCC(=O)C
522,OC(=O)C2(=NC=1(N(C(=O)NC(C=1C=C2)=O)C))
523,OC(=O)CN1(C(=O)NCCC1)
524,S(=O)(=O)(NC1(=CC=C(C(O)=O)C=C1))C3(=CC=2(NC(=O)NC=2C=C3))
525,OS(c(cc1)cc(C(N2)=O)c1NC2=O)(=O)=O
