Type,Number,ID,Smiles
TNKS1,2,A45_B145-AdS12,O=C(C1=CC=CC(COC2=C(C=CC=C2)C(N)=O)=C1)NC[C@@H](NC(COC3=CC(C)=CC(O4)=C3C5=C(CCC5)C4=O)=O)C(NCCCCCCCCCCCC([C@@]6(C[C@@]7(S(=O)(O)=O)C8)C[C@@]8(S(=O)(O)=O)C[C@@](C7)(S(=O)(O)=O)C6)([C@]9(C[C@]%10(S(=O)(O)=O)C%11)C[C@]%11(S(=O)(O)=O)C[C@](C%10)(S(=O)(O)=O)C9)[C@@]%12(C[C@@]%13(S(=O)(O)=O)C%14)C[C@@]%14(S(=O)(O)=O)C[C@@](C%13)(S(=O)(O)=O)C%12)=O
PARP1,2,A45_B295-AdS12,O=C(C1=CC=CC(COC2=C(C=CC=C2)C(N)=O)=C1)NC[C@@H](NC(C3=NC=CN3)=O)C(NCCCCCCCCCCCC([C@@]4(C[C@@]5(S(=O)(O)=O)C6)C[C@@]6(S(=O)(O)=O)C[C@@](C5)(S(=O)(O)=O)C4)([C@]7(C[C@]8(S(=O)(O)=O)C9)C[C@]9(S(=O)(O)=O)C[C@](C8)(S(=O)(O)=O)C7)[C@@]%10(C[C@@]%11(S(=O)(O)=O)C%12)C[C@@]%12(S(=O)(O)=O)C[C@@](C%11)(S(=O)(O)=O)C%10)=O
PARP2,2,A45_B299-AdS12,O=C(C1=CC=CC(COC2=C(C=CC=C2)C(N)=O)=C1)NC[C@@H](NC(C3=CC(C)=NN3)=O)C(NCCCCCCCCCCCC([C@@]4(C[C@@]5(S(=O)(O)=O)C6)C[C@@]6(S(=O)(O)=O)C[C@@](C5)(S(=O)(O)=O)C4)([C@]7(C[C@]8(S(=O)(O)=O)C9)C[C@]9(S(=O)(O)=O)C[C@](C8)(S(=O)(O)=O)C7)[C@@]%10(C[C@@]%11(S(=O)(O)=O)C%12)C[C@@]%12(S(=O)(O)=O)C[C@@](C%11)(S(=O)(O)=O)C%10)=O
